city_name_eng,hate_crime_log,logvk,logspbsu2,logspbsu1,logspbsu3,logpop,disttopiter,disttomoscow,logwage11,wage,University_exists,lognet11b,fract11b,ldpr_03,protesters_log
Barnaul,6.80350542068481,12.3224010467529,0.6931471824646,1.0986123085022,2.0794415473938,6.35870838165283,3251,2931,9.82962608337402,10926,1,12.4440889358521,0.202896267175674,0.131620064377785,6.80350542068481
Alejsk,0,8.20712947845459,0,0,0,3.44041800498962,3253,2912,9.61313533782959,10926,0,11.2111835479736,0.0942306220531464,0.147791758179665,0
Bijsk,0,10.9405612945557,1.0986123085022,0,0.6931471824646,5.41787672042847,3383,3057,9.6164722442627,10926,0,11.3222694396973,0.433248400688171,0.144843682646751,0
Zarinsk,0,8.86559391021729,0,0,0,4.00369024276733,3293,2987,9.84966468811035,10926,0,11.1776399612427,0.178471460938454,0.205680280923843,0
Kamen'-na-Obi,0,8.5243673324585,0,0,0,3.79773378372192,3092,2765,9.49258232116699,10926,0,11.1906518936157,0.129334598779678,0.127614706754684,0
Novoaltajsk,0,9.33723735809326,0,0,0,4.09434461593628,3259,2941,9.83964252471924,10926,0,11.1988315582275,0.262519687414169,0.12906177341938,0
Rubcovsk,0,10.195821762085,0,1.0986123085022,0,5.09252262115479,3231,2863,9.55662155151367,10926,0,11.0791969299316,0.484992653131485,0.121376410126686,0
Slavgorod,0,8.47031116485596,0,0,0,3.54385375976563,2993,2636,9.50524616241455,10926,0,11.198522567749,0.122112192213535,0.142242923378944,0
Jarovoe,0,7.75190544128418,0,0,0,3.11351537704468,2994,2635,9.40046501159668,10926,0,11.2397432327271,0.05924117192626,0.152644887566566,0
Krasnodar,6.82183408737183,13.3652000427246,1.94591009616852,1.3862943649292,1.7917594909668,6.45598459243774,1756,1196,10.138599395752,16648,1,13.4755582809448,0.187139123678207,0.0884779095649719,6.82183408737183
Anapa,6.21660614013672,10.5407257080078,1.60943794250488,1.3862943649292,0.6931471824646,4.02177381515503,1739,1209,9.7169771194458,16648,0,11.5164909362793,0.46969148516655,0.125626936554909,6.21660614013672
Armavir,0,10.3683843612671,0.6931471824646,1.3862943649292,0,5.10351848602295,1811,1220,9.66026878356934,16648,0,11.1292715072632,0.497854083776474,0.125804081559181,0
Belorechensk,0,9.16920566558838,0,1.0986123085022,0.6931471824646,4.03424072265625,1805,1232,9.76445579528809,16648,0,11.1839609146118,0.231122434139252,0.144322499632835,0
Gelendzhik,0,9.91343784332275,0.6931471824646,0,1.3862943649292,4.01457977294922,1789,1246,9.81268692016602,16648,0,11.324221611023,0.36886939406395,0.122575201094151,0
Gorjachij Kljuch,0,8.66561317443848,0,0,0,3.37416863441467,1802,1241,9.6738224029541,16648,0,11.2562017440796,0.138688758015633,0.110057815909386,0
Jejsk,0,10.0493183135986,0.6931471824646,0,0,4.45318365097046,1563,1007,9.61793613433838,16648,0,11.2619524002075,0.417909413576126,0.115165896713734,0
Kropotkin,0,9.41613388061523,1.0986123085022,0,0.6931471824646,4.42843294143677,1751,1166,9.8143835067749,16648,0,11.1612062454224,0.288256615400314,0.181496202945709,0
Krymsk,0,9.13830757141113,0.6931471824646,0.6931471824646,0,4.07243967056274,1746,1203,9.67388534545898,16648,0,11.1722564697266,0.227390959858894,0.147036582231522,0
Labinsk,0,9.17564582824707,0.6931471824646,0,0,4.15418434143066,1839,1256,9.57720279693604,16648,0,11.1699485778809,0.235148176550865,0.116207338869572,0
Novorossijsk,0,11.1983518600464,1.60943794250488,1.0986123085022,2.0794415473938,5.31566619873047,1765,1227,10.0980262756348,16648,1,11.5565185546875,0.420835137367249,0.162489533424377,0
Slavjansk-na-Kubani,0,9.40746879577637,0,0,0.6931471824646,4.16200304031372,1715,1168,9.73607444763184,16648,0,11.1897058486938,0.279883533716202,0.128732427954674,0
Sochi,5.42053508758545,11.8812074661255,2.30258512496948,1.60943794250488,1.0986123085022,5.88276529312134,1925,1359,10.189154624939,16648,1,12.0748691558838,0.290130823850632,0.10959230363369,5.42053508758545
Tihoreck,0,9.53082847595215,1.0986123085022,0,0,4.21803617477417,1696,1115,9.68738174438477,16648,0,11.2325878143311,0.298198878765106,0.146415129303932,0
Tuapse,0,9.87132549285889,0,0.6931471824646,0.6931471824646,4.19419002532959,1858,1300,10.0352172851563,16648,0,11.3350772857666,0.355662435293198,0.133369773626328,0
Krasnojarsk,7.69666719436646,13.4496431350708,1.7917594909668,1.94591009616852,1.94591009616852,6.77639293670654,3578,3357,10.2670888900757,18047,1,13.5516843795776,0.175193518400192,0.108674585819244,7.69666719436646
Achinsk,0,10.434027671814,0,0,0,4.80402088165283,3435,3206,9.90937042236328,18047,0,11.3179492950439,0.484914988279343,0.208009973168373,0
Bogotol,0,8.0430212020874,0,0,0,3.26575946807861,3388,3152,10.1295871734619,18047,0,11.3399229049683,0.0712363347411156,0.170725390315056,0
Borodino,0,7.98684501647949,0,0,0,3.0492730140686,3686,3474,9.89857578277588,18047,0,11.3335428237915,0.0679011940956116,0.14796644449234,0
Divnogorsk,0,8.90136623382568,0,0,0,3.40452527999878,3552,3328,9.97403907775879,18047,0,11.3684377670288,0.155255019664764,0.116490744054317,0
Jenisejsk,0,8.5767822265625,0,0,0,3.10009217262268,3396,3217,9.96510028839111,18047,0,11.2982873916626,0.122878342866898,0.103975534439087,0
