date,doge_price,google_interest,google_interest_musk
2021-01-27T00:00:00Z,-0.901134310835394,-0.157277682514555,26719.8901017752
2021-01-27T00:01:00Z,-0.881789199706394,-0.182336879937858,26677.7764878535
2021-01-27T00:03:00Z,-0.883138879556774,-0.223296557143854,26608.9410817121
2021-01-27T00:04:00Z,-0.88405448392553,-0.251297970633285,26561.8828820006
2021-01-27T00:05:00Z,-0.884932253869571,-0.258628841910484,26549.5628751998
2021-01-27T00:07:00Z,-0.904524473506716,-0.260814919822528,26545.8890288417
2021-01-27T00:09:00Z,-0.905065532678125,-0.266595218629148,26536.1748601003
2021-01-27T00:10:00Z,-0.904328056131435,-0.233421178746216,26591.925995472
2021-01-27T00:11:00Z,-0.904749685346085,-0.273056915802307,26525.3155570096
2021-01-27T00:14:00Z,-0.885498065096643,-0.285501991982358,26504.4007956699
2021-01-27T00:15:00Z,-0.885798837421444,-0.286216510945584,26503.2
2021-01-27T00:16:00Z,-0.904586249703252,-0.241159018230729,26578.9220520841
2021-01-27T00:17:00Z,-0.88544657428613,-0.264289552463663,26540.0496823097
2021-01-27T00:18:00Z,-0.885853587226104,-0.27621987381313,26520
2021-01-27T00:19:00Z,-0.905589783896527,-0.276814911737681,26519
2021-01-27T00:20:00Z,-0.905552142297914,-0.267540290403721,26534.58660541
2021-01-27T00:21:00Z,-0.88532899278974,-0.243492787962833,26575
2021-01-27T00:22:00Z,-0.885815540199831,-0.260153849850257,26547
2021-01-27T00:26:00Z,-0.885622210035019,-0.270864532492172,26529
2021-01-27T00:27:00Z,-0.885376672551366,-0.252418356831095,26560
2021-01-27T00:30:00Z,-0.883144711873592,-0.208980588338883,26633
2021-01-27T00:31:00Z,-0.902526524254941,-0.195268638709731,26656.04382471
2021-01-27T00:33:00Z,-0.88494807986188,-0.247799587525613,26567.762142739
2021-01-27T00:34:00Z,-0.904734626400619,-0.264203478432526,26540.1943353269
2021-01-27T00:35:00Z,-0.884934583066794,-0.255584094152257,26554.6797721783
2021-01-27T00:36:00Z,-0.904709292961724,-0.264040695449073,26540.4679027362
2021-01-27T00:37:00Z,-0.886013771069936,-0.350449388960184,26395.2524636088
2021-01-27T00:38:00Z,-0.888887291403277,-0.389517845026256,26329.5953778095
2021-01-27T00:40:00Z,-0.890607391321284,-0.429694683324643,26262.0755834557
2021-01-27T00:41:00Z,-0.889152711852271,-0.387419456913233,26333.1218557472
2021-01-27T00:42:00Z,-0.908797707093088,-0.395538507928292,26319.4772615456
2021-01-27T00:43:00Z,-0.889298437304671,-0.38426090977383,26338.43
2021-01-27T00:45:00Z,-0.908056884533998,-0.36976975475517,26362.7833301337
2021-01-27T00:46:00Z,-0.888344226423455,-0.352592991429232,26391.65
2021-01-27T00:47:00Z,-0.907492673448732,-0.343066434257174,26407.66
2021-01-27T00:48:00Z,-0.907822575760947,-0.357870466097381,26382.7808599832
2021-01-27T00:49:00Z,-0.888697547594314,-0.359123281674952,26380.6754217819
2021-01-27T00:50:00Z,-0.888382847184108,-0.343965473433834,26406.1491060896
2021-01-27T00:52:00Z,-0.88810450366404,-0.348705882018389,26398.1825406171
2021-01-27T00:55:00Z,-0.887947056948658,-0.390008587115139,26328.7706537564
2021-01-27T00:56:00Z,-0.888096784017409,-0.350912638113758,26394.4739432247
2021-01-27T00:57:00Z,-0.887347250031195,-0.328924031477826,26431.4272292737
2021-01-27T01:00:00Z,-0.883832112634845,-0.22678800636694,26603.0734738185
2021-01-27T01:01:00Z,-0.882862339514594,-0.20666709233658,26636.8879807603
2021-01-27T01:02:00Z,-0.883404287619885,-0.232213105082888,26593.9562419714
2021-01-27T01:03:00Z,-0.903754221305039,-0.248944799534585,26565.8375393453
2021-01-27T01:04:00Z,-0.904762685950173,-0.284069555259854,26506.8080989079
2021-01-27T01:05:00Z,-0.88573439433503,-0.290680843376767,26495.6973984901
2021-01-27T01:08:00Z,-0.885988655492871,-0.277250362151975,26518.2681972084
2021-01-27T01:09:00Z,-0.88659780911563,-0.315707264071458,26453.6388679963
2021-01-27T01:10:00Z,-0.886953485817962,-0.309694984573293,26463.7428954038
2021-01-27T01:11:00Z,-0.886768691103991,-0.306786971997307,26468.63
2021-01-27T01:12:00Z,-0.886524701556395,-0.29511232791762,26488.25
2021-01-27T01:13:00Z,-0.885935818872275,-0.294347967756383,26489.5345570504
